property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
flat, Arihant Residency,1.3,3,3,2,Relatively New,1215,0,0,0,High,Mid Floor
flat, Amal Aspen Garden,0.71,2,2,1,Relatively New,1007,0,0,0,Low,Mid Floor
flat, Arsiwala Essar Apex,1,3,3,3+,Moderately Old,1602,0,0,0,Low,High Floor
flat, Ashar Edge,1.6,2,2,2,New Property,1278,0,0,0,Low,Mid Floor
flat, Amarnath Towers,1.29,3,3,3,New Property,1642,0,0,0,Medium,Mid Floor
flat, ACME Avenue,1,2,2,2,New Property,1311,0,0,0,Medium,High Floor
house, Anand Ashram,0.82,2,4,0,Moderately Old,891,0,0,0,Low,Low Floor
flat, Ambrosia,2.45,3,4,3+,Relatively New,2131,1,0,1,Medium,High Floor
flat, Ashish,1.76,3,3,3,Relatively New,1500,1,0,1,High,Mid Floor
flat, A K Plaza,1.6,2,2,2,New Property,1272,0,0,0,Low,High Floor
house," Lodha Allura, Worli",0.95,3,10,3+,New Property,1065,0,0,0,Low,Mid Floor
flat, Raymond Tenx Habitat Delhi,0.79,3,2,2,Relatively New,1213,0,0,1,Low,Mid Floor
flat, Arkade Earth Hazel,1.3,4,6,2,New Property,2521,1,0,0,Medium,High Floor
flat, A K Plaza,2.25,3,3,3,Relatively New,1900,0,0,0,High,Mid Floor
flat," Lodha Allura, Worli",0.65,2,2,3,New Property,822,0,0,0,Medium,Low Floor
flat, Aadi Allure Wings A To E,0.75,2,2,2,Moderately Old,1397,0,0,0,Low,Mid Floor
flat, Arihant Anmol Phase II,3.1,4,6,3+,Relatively New,2817,1,0,0,High,High Floor
flat, ACME Ozone,4.1,3,3,3,Moderately Old,2308,1,0,0,Low,Mid Floor
flat, Piramal Mahalaxmi,1.98,3,3,3+,Relatively New,2222,1,0,1,Medium,Mid Floor
flat, Godrej Horizon Delhi,2.44,3,3,2,Under Construction,1654,0,0,0,Low,Mid Floor
flat, Mahindra Happinest Kalyan,0.72,2,2,1,Relatively New,1100,0,0,1,Low,Low Floor
flat, Alfa Mana A M Residency,2.99,3,3,3,Relatively New,2000,1,0,1,Low,Mid Floor
flat, Arsiwala Essar Apex,1.49,3,3,3,Relatively New,1707,0,0,0,Low,High Floor
flat, Arihant Anmol Phase II,2.6,4,4,3+,Moderately Old,2172,1,0,0,Low,Mid Floor
flat, Godrej Horizon Delhi,2,3,3,3,Relatively New,1833,1,0,1,Medium,Low Floor
house, Arkade Earth Wing Ebony,5.5,9,9,3+,Moderately Old,2700,1,0,1,Low,Mid Floor
flat, Anora Residency,0.4,2,2,2,New Property,667,0,0,0,Low,Mid Floor
flat, Ashwamedh Atlantis,0.92,3,3,2,Relatively New,2167,0,0,1,Low,Mid Floor
flat," Planet Godrej, Mahalaxmi",1.53,3,3,3,New Property,1589,0,0,1,Medium,Low Floor
flat, Amardeep Anutham,0.88,2,2,3+,Relatively New,1120,0,0,0,Low,Mid Floor
flat, Piramal Mahalaxmi,1.9,3,3,3+,Relatively New,2500,1,0,0,High,Low Floor
house, Acharya Aashram,5.65,8,6,3+,Moderately Old,2367,1,0,1,Medium,Mid Floor
flat, Ajmera Zeon,0.4,2,2,0,Relatively New,730,0,0,0,Low,Low Floor
house, Aadinath Developers Prem Narayan Residency,5.25,4,4,3+,Relatively New,1350,1,0,1,Medium,Low Floor
flat, Adityaraj Saphalya,3.05,3,4,2,Relatively New,2200,1,0,1,High,High Floor
flat, A K Plaza,1.6,2,2,2,Relatively New,1508,0,0,1,High,High Floor
house, Atlantic heritage,3.51,4,4,3,New Property,2844,1,0,0,Medium,Mid Floor
house, Atul Apartment,3.6,3,4,3,Moderately Old,1836,0,0,1,Low,Mid Floor
flat, Arihant Residency,1.1,2,2,3,New Property,81,0,0,0,Medium,Mid Floor
flat, Avanya,1.02,2,2,3,Relatively New,1388,0,0,0,Medium,Mid Floor
flat, Aadi Allure Wings A To E,0.95,2,2,2,Relatively New,1260,0,0,1,High,High Floor
flat," Lodha Allura, Worli",0.55,2,2,3,Relatively New,913,0,0,0,Medium,Mid Floor
flat," Ahuja Towers, Prabhadevi",1.25,3,3,3,Under Construction,1288,0,0,0,Low,Low Floor
house, Ajmera Treon,0.92,1,4,3,Moderately Old,603,0,0,0,Low,Mid Floor
flat, Ashwamedh Atlantis,0.65,2,2,3,Relatively New,1222,0,0,0,Medium,Mid Floor
flat, Atlantic heritage,1.5,3,3,3+,Moderately Old,1700,0,0,1,Medium,Mid Floor
flat," Lodha Allura, Worli",0.22,1,1,1,New Property,778,0,0,0,Medium,Low Floor
flat, Ambrosia,0.82,2,2,3,Relatively New,86,0,0,0,Medium,High Floor
flat, Raymond Tenx Habitat Delhi,2.95,4,4,3+,Relatively New,3150,1,1,1,High,Mid Floor
flat, Arkade Earth Hazel,0.87,2,2,1,New Property,1231,0,0,1,Low,High Floor
flat, Godrej Horizon Delhi,2.3,3,4,3,Relatively New,1833,1,1,2,High,Mid Floor
flat, Godrej Horizon Delhi,2.33,2,2,3,Under Construction,1141,0,0,1,Low,High Floor
flat, Raymond Tenx Habitat Delhi,1.75,3,4,3+,Relatively New,1946,1,0,0,Medium,Mid Floor
flat, Piramal Mahalaxmi,1.39,3,3,3,Relatively New,1493,1,0,1,Low,Mid Floor
flat," Planet Godrej, Mahalaxmi",0.38,1,1,1,Moderately Old,565,0,0,0,Low,High Floor
flat," Lodha Allura, Worli",0.78,3,3,3,Relatively New,1344,0,0,0,High,Mid Floor
flat, Aquarius Taurus Apartments,2.2,3,4,3+,Moderately Old,1554,0,0,1,Medium,Mid Floor
flat, Agami Emerald,1.67,3,2,2,Under Construction,1857,0,0,0,Medium,High Floor
house, Hiranandani Garden Powai,12,4,5,3+,Relatively New,2844,1,1,1,Medium,Mid Floor
flat, The M D Co Op Housing Federation,0.45,1,1,1,Relatively New,452,0,0,0,Low,Mid Floor
flat, Amidhara,2.35,3,3,3,Moderately Old,1900,0,0,1,Low,Mid Floor
flat, ANA Avant Garde Phase 1,2,3,3,0,Relatively New,1923,1,0,0,Medium,High Floor
flat," Planet Godrej, Mahalaxmi",1.5,4,4,3+,Old Property,2013,1,0,0,Medium,Mid Floor
flat, Ashar Sapphire,1.9,3,2,2,Relatively New,1285,0,0,1,High,Mid Floor
flat, Avanya,0.49,2,2,1,Relatively New,598,0,0,2,Low,Mid Floor
flat," Planet Godrej, Mahalaxmi",1.45,3,3,3,Under Construction,1430,0,0,0,Low,Mid Floor
flat, Arihant Anmol Phase II,1.43,3,3,2,Relatively New,1305,0,0,0,Medium,Low Floor
flat, Arihant Residency,1.4,3,3,3,New Property,1656,0,0,1,Medium,Low Floor
flat," Planet Godrej, Mahalaxmi",5.25,4,5,3+,New Property,5249,1,0,0,Low,Low Floor
flat, Arihant Anmol Phase II,1.9,4,4,2,Relatively New,1819,0,0,0,Low,Low Floor
flat, Ambrosia,1.75,3,4,3+,Relatively New,2036,1,0,1,Low,High Floor
house, Agami Emerald,1.15,2,2,3,Relatively New,1400,0,0,1,Medium,Low Floor
flat, Anora Residency,0.67,2,2,2,Relatively New,1086,0,0,0,Low,Mid Floor
flat, Aristocrat Jai Savitri CHSL,0.2,1,1,1,Relatively New,407,0,0,0,Medium,Low Floor
flat, Arihant Anmol Phase II,1.68,3,3,2,Relatively New,1510,0,0,0,High,Low Floor
house, Ashiana Prem Aangan,6.3,4,4,3+,Old Property,1800,1,1,0,Medium,Low Floor
flat, Arihant Anmol Phase II,0.9,3,2,3+,Relatively New,1326,0,0,1,Medium,Low Floor
flat," Lodha Allura, Worli",0.26,2,2,1,Relatively New,535,0,0,0,Low,Low Floor
flat, Ashford Royale Tower D,1.6,3,3,2,New Property,1346,0,1,1,Medium,Mid Floor
flat, Aashray Aanand,2.35,3,3,3+,Under Construction,1615,0,0,0,Low,Mid Floor
flat, Raymond Tenx Habitat Delhi,1.45,3,4,3+,Relatively New,1797,1,0,0,Medium,Mid Floor
house, Ajmera Treon,2.35,4,4,2,Old Property,1440,0,0,0,Low,Low Floor
flat," Ahuja Towers, Prabhadevi",1.2,3,3,2,New Property,1423,0,0,0,Low,Mid Floor
house, Agarwal Solitaire,16,6,7,3+,Relatively New,4500,1,1,1,Medium,Mid Floor
flat, Anmol Apartment,0.3,2,1,0,New Property,500,0,0,0,Low,High Floor
flat, Ashish,1.3,3,3,1,Relatively New,2588,0,0,1,Medium,Mid Floor
flat, Anmol Apartment,0.4,2,2,2,New Property,733,0,0,0,Medium,Mid Floor
flat, Adhiraj Zinnia,0.7,2,2,2,Relatively New,1498,0,0,0,Medium,Mid Floor
house, Amara,0.55,1,1,0,Moderately Old,750,0,0,0,Low,Low Floor
house, Arihant Aloki Phase 1,2,2,2,2,Old Property,1440,0,0,0,Low,Low Floor
house, Ajmera Treon,0.8,2,3,1,Moderately Old,675,0,0,0,Low,Low Floor
flat, Acropolis,0.2,1,1,1,Moderately Old,556,0,0,0,Low,Low Floor
house, Raymond Tenx Habitat Delhi,6,4,5,3,Moderately Old,6228,0,0,0,Medium,Low Floor
flat, Lodha Bellagio Delhi,0.88,3,3,1,Relatively New,1344,0,0,0,Medium,Low Floor
flat, Piramal Mahalaxmi,1.4,3,3,3,Relatively New,1315,1,0,0,Medium,Mid Floor
flat, Shapoorji Pallonji Skyraa,3.35,3,4,2,New Property,2525,0,0,0,Medium,High Floor
flat, Piramal Mahalaxmi,1.76,3,3,3,Relatively New,1531,0,0,0,Medium,Low Floor
flat, Anmol Apartment,0.85,2,2,2,New Property,1133,0,0,0,Low,Mid Floor
flat, Ajmera Treon,0.42,2,2,1,Relatively New,833,0,0,1,Low,Mid Floor
house, Arihant Aloki Phase 1,1.55,2,2,2,Moderately Old,1080,0,0,1,Medium,Low Floor
flat, Arkade Earth Hazel,0.78,2,2,1,New Property,1231,0,0,0,Medium,Mid Floor
flat, Agami Emerald,1.1,2,2,2,Under Construction,1275,0,0,0,Low,Mid Floor
flat, Arihant Anmol Phase II,1.42,3,3,2,Relatively New,1428,0,0,1,Medium,Mid Floor
flat, Shapoorji Pallonji Skyraa,0.7,2,2,2,Moderately Old,1362,0,0,0,Medium,High Floor
flat, AV Sundaram Plaza,2.1,4,4,3+,Old Property,1954,0,0,2,Low,Mid Floor
house, Amidhara,7.5,3,3,2,Moderately Old,2160,1,0,1,Medium,Low Floor
flat," Sheth Beau Pride, Bandra",0.95,4,3,2,New Property,1983,0,0,0,Low,High Floor
flat, Agami Emerald,3.25,4,4,3+,Old Property,4809,1,0,1,Medium,High Floor
flat, Ankurdev Danvijay CHSL,1.7,3,3,3,Moderately Old,2200,0,0,0,Low,Mid Floor
flat, Amarnath Towers,1.19,2,2,3,Relatively New,1387,0,0,1,High,High Floor
house, Ajmera Midtown,1.2,3,2,2,New Property,1500,0,0,1,Medium,Mid Floor
flat, Piramal Mahalaxmi,1.4,2,2,2,New Property,1166,0,0,1,Low,High Floor
flat, ANA Avant Garde Phase 1,1.76,3,3,3+,Moderately Old,1576,1,0,1,High,Mid Floor
flat, Arkade Earth Hazel,1.45,3,2,3,Relatively New,1480,0,0,2,Medium,Mid Floor
flat, Arihant Anmol Phase II,1.4,3,3,2,Relatively New,1428,0,0,0,Medium,Mid Floor
flat, Agarwal Paramount,7.15,4,5,3+,Relatively New,3925,1,1,1,High,Mid Floor
flat, Adityaraj Saphalya,2.72,4,4,3+,Relatively New,2250,1,0,1,Medium,Low Floor
flat, Ajmera Zeon,0.4,2,2,2,New Property,604,0,0,0,Low,High Floor
flat, Birla Niyaara Worli,1.1,2,2,3+,New Property,1312,0,0,0,Medium,Mid Floor
flat, Birla Niyaara Worli,1.34,2,2,3+,New Property,1180,0,0,1,Medium,High Floor
flat," Lodha Allura, Worli",0.95,2,2,3+,Under Construction,1050,0,0,0,Medium,Mid Floor
house, ANA Avant Garde Phase 1,19.5,5,6,3,Moderately Old,8775,1,1,1,Medium,Low Floor
flat, Adhiraj Zinnia,5.6,4,6,3+,Moderately Old,3662.34,1,0,1,High,High Floor
flat, Agarwal Agarwal Exotica,0.96,2,2,3+,Moderately Old,1271,0,0,0,Medium,Mid Floor
flat, Aadi Allure Wings A To E,2.34,3,4,3+,Relatively New,1760,1,0,2,High,High Floor
flat, Atlanta CHS,3.25,4,4,3+,Moderately Old,3115,0,0,1,Medium,High Floor
flat, Atlanta Enclave,1.25,3,4,3,Relatively New,1310,1,0,0,Low,Mid Floor
flat, Ashar Edge,1.47,2,2,2,Under Construction,1333,0,0,0,Medium,Low Floor
house, The M D Co Op Housing Federation,0.75,3,1,0,New Property,1081,0,0,0,Low,Low Floor
house, Hiranandani Garden Powai,10.5,5,6,3+,New Property,3240,1,0,1,High,Mid Floor
flat, Acropolis,0.98,2,2,3,Moderately Old,1416,0,0,0,Medium,High Floor
flat, Arihant Anmol Phase II,1.66,3,3,2,Relatively New,1482,0,0,0,High,Low Floor
flat, Ankurdev Danvijay CHSL,0.52,1,1,1,Old Property,475,0,0,0,Low,Low Floor
flat," Lodha Allura, Worli",0.66,2,2,3,Relatively New,978,0,0,0,Low,High Floor
house, Mahindra Happinest Kalyan,0.7,4,4,1,Moderately Old,1700,0,0,0,Low,Low Floor
house, Acropolis,9,5,5,2,Old Property,4680,1,1,2,Medium,Low Floor
flat, Lodha Bellagio Delhi,1.2,2,2,3+,Relatively New,1380,0,1,0,High,Low Floor
flat, The M D Co Op Housing Federation,0.36,1,1,1,Relatively New,407,0,0,0,Medium,Mid Floor
house, Aditya Purnima Pride,3.5,6,5,2,Old Property,2250,1,0,2,High,Mid Floor
flat, Adityaraj Saphalya,2.35,3,4,3+,Moderately Old,1751,1,0,1,High,High Floor
flat, Birla Niyaara Worli,1.51,3,3,3,Relatively New,1788,1,0,0,Low,Mid Floor
flat, Ashish,0.85,2,2,2,Moderately Old,1100,0,0,1,Medium,High Floor
flat, Lodha Bellagio Delhi,1.05,2,2,1,Under Construction,97,0,0,0,Low,High Floor
flat, ACME Ozone,1.9,3,3,3,Moderately Old,1787,1,0,1,Low,Mid Floor
house, Ashiana Prem Aangan,6.25,5,5,3,Moderately Old,1800,1,0,1,Medium,Low Floor
flat," Ahuja Towers, Prabhadevi",1.32,3,3,3,Under Construction,867,0,0,0,Low,Low Floor
flat, Amardeep Anutham,0.88,2,2,3+,Relatively New,940,0,0,0,Low,Low Floor
flat, Arsiwala Essar Apex,1.5,3,2,3+,Relatively New,1376,0,0,0,Low,High Floor
flat, Raymond Tenx Habitat Delhi,1.75,3,3,3,Relatively New,1550,0,0,1,Low,Mid Floor
flat, Anora Residency,0.9,3,3,3,Relatively New,1435,0,0,0,Medium,Mid Floor
flat, Adityaraj Saphalya,3,3,3,3+,Relatively New,2047,0,1,1,High,Mid Floor
flat," Lodha Allura, Worli",0.28,2,2,2,New Property,588,0,0,0,Low,High Floor
flat," Lodha Allura, Worli",0.56,2,2,3,New Property,913,0,0,0,Medium,Mid Floor
house, Mahindra Happinest Kalyan,3.71,3,3,1,Moderately Old,1872,0,0,0,Low,Mid Floor
flat, Ashar Sapphire,2.85,3,3,3+,New Property,2006,1,0,0,Medium,Mid Floor
flat, Anora Residency,1.25,3,3,3,Relatively New,1563,0,0,0,Low,Low Floor
flat, Ambrosia,2,3,4,3+,Relatively New,2072,1,0,0,Medium,Mid Floor
flat, Avanya,0.35,2,2,2,Relatively New,608,0,0,0,Low,Mid Floor
flat, Raymond Tenx Habitat Delhi,2.15,3,4,3,Relatively New,1896,1,0,0,Medium,Mid Floor
flat, Atlanta Enclave,1.64,4,3,3,Relatively New,1765,1,0,0,Medium,Mid Floor
house, Ajmera Treon,0.85,3,3,0,Moderately Old,1130,0,0,0,Low,Low Floor
flat, Andheri Green Field Towers CHSL,2.4,3,3,0,Moderately Old,2667,0,0,1,Low,Low Floor
house, Ashoka Swaroop Residency,4.5,4,5,2,Old Property,4950,0,0,0,Low,Low Floor
flat, Aristocrat Jai Savitri CHSL,0.43,2,2,2,Relatively New,1300,0,0,0,Medium,Mid Floor
flat, Piramal Mahalaxmi,1.38,3,3,3,Relatively New,1315,1,0,1,Medium,Mid Floor
house, Ashiana Prem Aangan,15.5,5,6,3+,Moderately Old,4518,1,1,0,Medium,Mid Floor
flat, Agarwal Doshi Complex,1.35,4,4,3,Moderately Old,2127,1,0,0,Low,Mid Floor
flat, Godrej Horizon Delhi,3,4,4,3+,Relatively New,1975,1,0,0,Medium,Low Floor
flat," Lodha Allura, Worli",0.32,2,2,2,Relatively New,616,0,0,1,Low,High Floor
flat, Avanya,0.75,2,2,3+,Relatively New,1201,0,0,0,High,High Floor
flat, Avanya,0.36,2,2,1,Relatively New,496,0,0,0,Low,Mid Floor
flat," Ahuja Towers, Prabhadevi",1,2,2,2,New Property,1226,0,0,0,Low,Low Floor
flat," Lodha Allura, Worli",0.35,2,2,2,New Property,658,0,0,0,Low,High Floor
flat, ANA Avant Garde Phase 1,4.3,4,5,3+,New Property,3444,1,0,0,Medium,Mid Floor
flat, Ashford Royale Tower D,1.7,3,3,2,New Property,1346,1,0,1,Low,Mid Floor
flat, Arihant Anmol Phase II,1.36,3,3,1,Relatively New,1392,0,0,0,Medium,High Floor
house, Ankurdev Danvijay CHSL,3.4,6,6,3+,Moderately Old,1530,0,0,1,Low,Low Floor
house, Adityaraj Saphalya,3,4,4,0,Moderately Old,2800,0,0,0,Low,Mid Floor
house, Atlanta CHS,14,9,9,3+,Moderately Old,3510,1,0,0,Low,Mid Floor
flat, Shapoorji Pallonji Skyraa,3.95,3,5,2,New Property,2343,1,0,0,Medium,High Floor
house, Atlantic heritage,5.7,4,4,0,Moderately Old,2430,0,0,0,Low,Low Floor
flat, Ashwamedh Atlantis,1.65,4,4,3+,Moderately Old,2468,0,0,0,Medium,Mid Floor
flat, Acropolis,0.95,2,3,2,Old Property,1444,0,0,1,Low,Low Floor
flat, Ashwamedh Atlantis,1.25,3,3,3+,Relatively New,1929,1,0,0,Medium,Mid Floor
flat, ACME Oasis,3.79,5,5,3,Relatively New,3466,1,0,0,Medium,Mid Floor
house, ACME Oasis,0.34,2,2,2,Moderately Old,270,0,0,0,Low,Mid Floor
house, Aadinath Developers Prem Narayan Residency,3.5,2,4,3,Old Property,1080,0,0,0,Low,Mid Floor
flat, Piramal Mahalaxmi,1.75,3,3,3,Relatively New,1465,1,0,0,Low,Mid Floor
house, Birla Niyaara Worli,0.9,2,2,3+,New Property,1319,1,0,0,High,Mid Floor
flat, Ashar Edge,1.58,2,2,2,New Property,1278,0,0,0,Low,Mid Floor
flat," Sheth Beau Pride, Bandra",0.5,3,3,1,Relatively New,579,0,0,0,Low,Low Floor
house, ANA Avant Garde Phase 1,5.5,4,4,2,Relatively New,2340,1,0,1,Low,Low Floor
flat, Aashray Aanand,0.36,1,1,1,Relatively New,450,0,0,0,Low,Mid Floor
flat, Arihant Anmol Phase II,2,4,4,2,Relatively New,1889,0,0,0,High,Low Floor
house, Adityaraj Saphalya,8,6,7,3+,Moderately Old,3600,1,1,1,High,Mid Floor
flat, Andheri Green Field Towers CHSL,2.45,3,4,2,Old Property,2544,0,0,1,Low,Low Floor
flat, Arihant Anmol Phase II,2.05,4,4,2,Relatively New,1889,0,0,0,High,Low Floor
flat, Ambrosia,4.45,4,5,3+,Relatively New,7222,0,0,0,Medium,High Floor
flat, Piramal Mahalaxmi,1.42,2,2,3,Relatively New,1368,0,0,0,Low,High Floor
flat, Ashar Sapphire,2.4,3,4,3+,Relatively New,1940,1,0,0,Low,Mid Floor
house, Akanksha,0.6,3,3,2,Old Property,972,0,0,0,Low,Mid Floor
house, Prestige Jasdan Classic,17,5,5,3+,Relatively New,4518,1,1,1,Medium,Low Floor
flat, Shapoorji Pallonji Skyraa,2.5,3,3,2,New Property,1480,0,0,0,High,High Floor
flat, Arkade Earth Wing Ebony,1.5,4,4,3,Old Property,1484,0,0,0,Medium,Mid Floor
flat, A Surti Universal Cubical,1.15,3,3,3,Moderately Old,1969,1,0,0,Low,Mid Floor
flat, Avanya,0.28,2,2,2,Relatively New,543,0,0,0,Low,Low Floor
flat, The M D Co Op Housing Federation,0.85,3,2,3,New Property,833,0,0,0,Low,Low Floor
flat, Aadi Allure Wings A To E,3.45,4,4,3+,Moderately Old,2527,1,0,0,Medium,High Floor
flat, ACME Ozone,4.25,4,4,3+,Relatively New,2941,1,0,1,High,Low Floor
flat," Ahuja Towers, Prabhadevi",1.2,3,3,2,New Property,1423,0,0,0,Low,Low Floor
flat, ACME Ozone Phase 2,0.5,2,2,2,Relatively New,698,0,0,0,Low,Mid Floor
flat, Amarnath Towers,1.45,2,2,3+,Relatively New,133,0,0,2,Medium,Mid Floor
flat, Alfa Mana A M Residency,2.8,3,3,2,New Property,1950,1,0,2,Medium,High Floor
house, Ajmera Midtown,2.8,5,5,3+,Old Property,1557,0,0,1,Medium,Low Floor
house, Raymond Tenx Habitat Delhi,6.75,4,4,3+,New Property,6228,1,0,0,Medium,Low Floor
house, Arihant Aloki Phase 1,1.15,5,3,2,Old Property,1350,0,0,0,Low,Low Floor
flat, Aristocrat Jai Savitri CHSL,0.45,2,2,2,New Property,571,0,0,0,Low,High Floor
flat, Agarwal Agarwal Exotica,1.75,4,4,3+,Relatively New,2139,1,0,0,Medium,Mid Floor
flat, Ashish,1.1,3,3,3+,Relatively New,1600,0,0,1,Medium,Mid Floor
flat, ACME Avenue,1.7,4,4,3,New Property,1809,0,0,0,Low,Low Floor
flat, Shapoorji Pallonji Skyraa,0.7,2,2,3,Moderately Old,1720,0,0,1,Low,Low Floor
flat, Acropolis,1.51,3,4,3+,Moderately Old,1738,1,0,1,Medium,Mid Floor
flat, Arkade Earth Hazel,0.44,2,2,2,Relatively New,668,0,0,1,Medium,Mid Floor
flat, Piramal Mahalaxmi,2.35,3,3,3,Relatively New,2351,1,0,1,High,High Floor
flat, Ambrosia,1.75,4,5,3+,New Property,2582,1,0,0,Medium,Low Floor
flat, Arihant Anmol Phase II,1.75,4,4,1,Relatively New,1783,0,0,0,Medium,High Floor
flat," Sheth Beau Pride, Bandra",0.6,2,2,3,Under Construction,1195,0,0,0,Low,High Floor
flat, Ankurdev Danvijay CHSL,1.38,3,3,3,Moderately Old,1910,0,0,1,Medium,Mid Floor
flat, Ashwamedh Atlantis,0.9,3,4,3,Relatively New,1765,1,0,0,High,Mid Floor
house, Prestige Jasdan Classic,4.45,4,4,3,Old Property,1265,0,0,0,Low,Mid Floor
house, Arihant Darshan,3.25,4,4,3+,Moderately Old,1449,1,1,1,Low,Mid Floor
flat, Arihant Residency,0.36,2,2,1,New Property,546,0,0,0,Medium,Mid Floor
flat, Atlantic heritage,7,4,6,3+,Moderately Old,2715,1,1,1,Medium,High Floor
flat, Ashish,1.4,3,3,3,Relatively New,1582,1,0,2,Medium,High Floor
flat, Amidhara,2.35,3,3,3,Moderately Old,2000,0,1,1,Medium,Mid Floor
flat, Lodha Bellagio Delhi,2.15,4,5,3+,Relatively New,2366,1,0,0,High,Mid Floor
flat, Shapoorji Pallonji Skyraa,2.95,3,4,2,Relatively New,2003,0,0,0,Low,High Floor
flat, Amara,1.1,2,2,2,Under Construction,956,0,0,0,Medium,High Floor
house, Andheri Green Field Towers CHSL,4.3,3,4,2,Moderately Old,1467,0,0,0,Low,Low Floor
flat, A Surti Universal Cubical,1.25,4,4,3,Relatively New,2300,1,0,0,Medium,Low Floor
flat, A Surti Universal Cubical,1.2,1,2,2,Under Construction,823,0,0,0,Low,High Floor
house, Adani The Views Delhi,9.9,2,2,2,Moderately Old,2000,0,0,0,Low,Mid Floor
flat, Ashar Sapphire,3.35,3,4,3+,New Property,2200,1,0,0,High,High Floor
flat, Birla Niyaara Worli,1.8,3,3,3,Relatively New,1925,0,0,0,Medium,Mid Floor
house, Amidhara,7.1,5,4,3,Moderately Old,2160,0,1,1,Medium,Low Floor
flat, Arihant Residency,0.71,2,2,0,Under Construction,1295,0,0,0,Low,Mid Floor
flat, Apna Ghar,1.48,3,3,2,New Property,1624,1,1,1,Medium,Low Floor
flat, Ashford Royale,1.25,3,3,3,Under Construction,1688,0,0,0,Medium,High Floor
flat, Adityaraj Saphalya,2.87,3,3,3+,Relatively New,2095,1,0,1,High,High Floor
flat, Ashar Edge,2.2,3,3,2,Under Construction,1811,0,0,0,Low,Mid Floor
flat, Raymond Tenx Habitat Delhi,1.65,3,3,3,Relatively New,1650,0,1,1,High,High Floor
flat, Ashish,1.4,3,3,3,Relatively New,1387,1,1,1,High,Low Floor
flat, Atlanta Enclave,1.4,3,3,3,Relatively New,1735,0,0,0,Low,Mid Floor
house, Atlanta CHS,5.8,6,6,3,Relatively New,1935,1,0,1,Low,Low Floor
flat, Ashar Sapphire,3.21,3,3,3,New Property,2281,0,0,0,Low,Mid Floor
house, Amara,0.9,3,4,3,Moderately Old,3500,0,0,1,Low,Mid Floor
house, ACME Ozone,8.5,5,6,3+,Relatively New,6300,1,1,1,Medium,Mid Floor
flat, Ashish,0.4,1,1,1,Relatively New,520,0,0,2,Medium,Mid Floor
flat, Adityaraj Saphalya,2.95,3,3,3,Relatively New,2150,1,0,1,High,Mid Floor
flat, Aristocrat Jai Savitri CHSL,1.1,4,3,3,Relatively New,2824,1,0,0,Low,Mid Floor
flat, Anora Residency,1,3,3,3,Under Construction,1629,0,0,0,Medium,Mid Floor
flat, Adinath Saanvi Heights,1,2,2,2,Relatively New,1299,0,0,1,Medium,High Floor
flat, Ajmera Vishwa Nagri Building No 3 And 4,0.92,3,3,3+,Moderately Old,1924,1,0,0,Low,Mid Floor
flat, Aristocrat Jai Savitri CHSL,0.45,2,2,1,Relatively New,887,0,0,0,Medium,Low Floor
flat, Ashwamedh Atlantis,1.25,4,5,2,Relatively New,2330,1,0,0,High,Mid Floor
flat, Godrej Horizon Delhi,2.35,3,3,3,Relatively New,1493,1,0,1,High,Low Floor
flat, Arihant Anmol Phase II,1.4,3,3,1,Relatively New,1392,0,0,1,High,High Floor
flat, Aristocrat Jai Savitri CHSL,0.55,2,2,3,New Property,990,0,0,0,Low,High Floor
house, Adani The Views Delhi,0.74,3,3,0,Moderately Old,1000,0,0,0,Low,Low Floor
flat, Atlantic heritage,11,4,6,3,Relatively New,2826,1,0,2,Medium,Mid Floor
house, Ajmera Yogi Hills,1.8,1,1,2,Relatively New,800,0,0,0,Low,Mid Floor
flat," Sheth Beau Pride, Bandra",1,4,3,2,Relatively New,2167,0,0,0,Low,Low Floor
flat, Ashwamedh Atlantis,0.65,2,2,2,Old Property,1176,0,0,0,Medium,High Floor
flat, Arihant Residency,1.3,2,2,3,New Property,1423,0,0,0,Low,Mid Floor
flat, ACME Oasis,3.49,4,5,3,Relatively New,3077,1,0,0,High,Mid Floor
house, Arkade Earth,6.75,4,4,3,Relatively New,2088,1,0,1,Low,Mid Floor
flat, Piramal Mahalaxmi,1.05,2,2,2,Under Construction,1017,0,0,0,Low,Low Floor
flat, Hiranandani Garden Powai,2.26,3,3,2,Old Property,1700,1,0,0,High,High Floor
flat, Ankurdev Danvijay CHSL,0.5,1,1,2,Old Property,667,0,0,0,Low,Mid Floor
flat, Ashar Edge,2.54,3,3,3,Under Construction,1639,0,1,0,Low,Low Floor
flat, Arihant Residency,2,3,4,3+,Relatively New,1963,1,0,0,Medium,Mid Floor
flat, Ashwamedh Atlantis,0.95,3,3,3,Relatively New,1667,1,0,0,Medium,Mid Floor
flat, Arihant Residency,1.12,2,2,3,Relatively New,1325,0,0,0,Low,Mid Floor
flat, Acropolis,1.01,2,2,3,Moderately Old,1281,0,0,0,Medium,Low Floor
flat, Ambrosia,2.3,3,4,3+,Moderately Old,2217,1,0,0,Medium,Mid Floor
flat, Amidhara,6,4,3,3,Moderately Old,3982,1,0,0,Low,Mid Floor
house, Alfa Mana A M Residency,12,5,5,3+,New Property,3240,1,1,1,Medium,Mid Floor
